problem_type,distress_condition,requested_support,vulnerable_condition,complaint_summary,id
อาหารขาด,ติดอยู่ชั้น 2 ของหอพัก 35 คน ไม่ได้กินอะไรมา 2 วัน,ส่งข้าวส่งน้ำ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือการส่งข้าวส่งน้ำ เนื่องจากอาหารขาดและติดอยู่ชั้น 2 ของหอพัก 35 คน ไม่ได้กินอะไรมา 2 วัน,message_00206
น้ำท่วมสูง,น้ำท่วมสูง ขาดการติดต่อหลายวัน ขาดอาหาร น้ำดื่ม ไม่มีไฟฟ้า ไม่มีน้ำใช้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง ขาดการติดต่อหลายวัน ขาดอาหาร น้ำดื่ม ไม่มีไฟฟ้า ไม่มีน้ำใช้,message_00207
น้ำท่วมสูง,ขาดการติดต่อ ไม่มีน้ำ ไม่มีไฟฟ้า,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงและขาดการติดต่อ ไม่มีน้ำและไม่มีไฟฟ้า,message_00210
น้ำท่วมสูงเกือบจมหัว,น้ำท่วมสูงเกือบจมหัว ไม่มีเรือ ไม่มีอาหารและน้ำดื่ม แบตหมดขาดการติดต่อ 4 วัน,ไม่ได้ระบุ,ไม่ได้ระบุ,แฟนติดอพาร์ตเมนต์บูมที่ 67 ถนน นิพัทธ์สงเคราะห์ 2 มีน้ำท่วมสูงเกือบจมหัว ทำให้ไม่มีเรือ ไม่มีอาหารและน้ำดื่ม แบตหมดขาดการติดต่อ 4 วัน,message_00211
น้ำท่วมสูง,ขาดแคลนอาหาร,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงและขาดแคลนอาหาร,message_00212
น้ำท่วม,ขาดอาหาร น้ำท่วมสูงมาก ติดบนหลังคา,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูงมากและขาดอาหาร ติดบนหลังคาซอย10 8 เพชรเกษม,message_00216
น้ำท่วมสูง,น้ำท่วมสูง ผู้สูงอายุ 79 ปีและผู้ที่ออกจากโรงพยาบาลไม่กินอาหารหลายวัน มีคนในบ้าน 5 คน,ไม่ได้ระบุ,ผู้สูงอายุ ผู้ที่ออกจากโรงพยาบาล,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำท่วมสูง ผู้สูงอายุ 79 ปีและผู้ที่ออกจากโรงพยาบาลไม่กินอาหารหลายวัน มีคนในบ้าน 5 คน,message_00218
น้ำขึ้นชั้น 2,น้ำกำลังจะขึ้นชั้น 2 และไม่สามารถติดต่อได้,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากน้ำกำลังจะขึ้นชั้น 2 และไม่สามารถติดต่อได้,message_00222
น้ำขึ้นชั้นสอง,น้ำขึ้นชั้นสอง ผู้สูงวัยสภาพแย่เริ่มไม่ไหว ไม่สามารถติดต่อบ้านได้,ไม่ได้ระบุ,ผู้สูงวัย,ผู้แจ้งรายนี้ประสบปัญหาน้ำขึ้นชั้นสองในพื้นที่ 1189 ม 1 ถนน เพชรเกษม ตำบล หาดใหญ่ มีผู้สูงวัยสภาพแย่เริ่มไม่ไหวและไม่สามารถติดต่อบ้านได้,message_00223
น้ำท่วมสูงมิดชั้น1,น้ำท่วมสูงมิดชั้น1 ห้องพักมี 40 คน ขาดอาหารและน้ำ,อพยพ,ไม่ได้ระบุ,ผู้ร้องขออพยพเนื่องจากน้ำท่วมสูงมิดชั้น1 ห้องพักมี 40 คนขาดอาหารและน้ำ,message_00225
ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ไม่ได้ระบุ,ผู้ร้องขอความช่วยเหลือเนื่องจากไม่สามารถติดต่อได้สองวัน,message_00230
ไม่ได้ระบุ,ติดต่อไม่ได้สองวันแล้ว มีคนป่วย 1 คน เด็กรวม 5 คน,ไม่ได้ระบุ,คนป่วย เด็ก,ผู้ร้องขอความช่วยเหลือที่หาดใหญ่เลขที่20 1 ซอยบุญวรรณโณ ติดต่อล่าช้า 2 วัน มีคนป่วย 1 คนและเด็ก 5 คน โดยปัญหายังไม่ระบุ,message_00231
